ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0002181	cytoplasmic translation	108/4039	147/17021	2.63882396600366e-37	1.62393226867865e-33	1.33885594906712e-33	RPS20/RPL26L1/YBX3/RPL18/ZC3H15/PKM/FTSJ1/EIF2B3/RPL31/RPS5/EIF3I/RPL6/RPLP0/AARS1/EIF3L/RPL3/EIF5/GSPT1/EIF3J/EIF3E/RPS16/RPS19/RPL18A/EIF3B/EIF4H/EIF3A/RPL28/RPL19/DRG2/RPL34/RPS13/RPS12/RPL24/EIF4G1/RPS15/RPL22/RPS25/ETF1/RPL5/RPS10/RPL23/EIF2S2/RPL36/EIF2S3/EIF3G/RPL27/DPH2/RPL35/RPS6/RPLP1/RPS24/DENR/RPS11/RPL13A/RPS8/EIF2D/RPS27A/RPL32/RPS3A/RPL37/RPL10/RPL7/EIF3H/RPL7A/EIF3M/RPS3/DPH3/RPL30/RPL8/RPL26/RPL29/RPL22L1/RPL9/RPS14/METTL3/RPL27A/RPL13/EEF2/CNBP/RPS9/RPS21/RPS7/RPL4/RPL15/EIF3F/RPLP2/RPS27/EIF3K/RPS17/RPL35A/DRG1/RPS23/RPL14/RPS26/RPL37A/RPL12/RPS4X/RPL23A/RPL10A/MTOR/RPL39/RPLP0P6/RPS29/UBA52/RPL41/RPS18/TMA7/RPS28	108
BP	GO:0022613	ribonucleoprotein complex biogenesis	228/4039	449/17021	2.30610183766319e-36	7.09587535448963e-33	5.85021624080872e-33	LAS1L/RPUSD1/TSR3/UTP18/STRAP/RPL26L1/NOP16/CELF2/RRP12/MRTO4/RIOK2/WDR18/BUD23/XAB2/EXOSC5/XRCC5/DDX1/HSP90AA1/RPS5/WBP11/EIF3I/DIMT1/NOP14/DDX18/XRN2/RPL6/RPLP0/GEMIN2/AGO1/SRPK1/HSP90AB1/SF3A1/SNRPD3/PES1/EIF3L/SNU13/DDX17/RPL3/PRMT5/SRSF5/EIF5/PRPF6/CRNKL1/SUV39H1/EIF3J/EIF3E/PIH1D1/ERCC2/SF3A2/POP4/RPS16/FBL/YJU2/RPS19/NOP53/PRPF31/EIF3B/EIF4H/EIF3A/NPM3/NUP88/C1QBP/FTSJ3/GAR1/PRPF19/PTGES3/KRR1/SRSF9/RPL24/RRP9/RPS15/SF3B1/RPF1/EBNA1BP2/ERI3/UTP25/RPS25/FCF1/WDR55/COIL/GTF3A/MRPS2/RPL5/DDX54/SRSF6/DDX27/SNRPC/RIOK1/RPP40/MRPS7/SNRPD2/SNRPB/EIF2S2/SBDS/EMG1/NGDN/NSUN5/LSM4/EIF2S3/PPAN/EIF3G/DKC1/NOL11/RPL27/TRAF7/DHX30/RAN/MYBBP1A/UTP3/ERAL1/MPHOSPH6/GLUL/PWP1/DDX56/IMP4/RPL35/RPS6/RSL24D1/RPS24/SCAF11/SNRPF/TARBP2/DENR/CUL4A/UTP4/EIF4A3/TXNL4A/RPL13A/RPS8/EIF2D/SNRPG/SNRNP200/POLR2D/SHQ1/EIF2A/LYAR/NHP2/ABT1/RPL7L1/RPL10/RPL7/EIF3H/REXO4/RPL7A/RPP30/PDCD11/EIF3M/DHX37/HEATR3/NIFK/RPUSD3/TSR2/RRP1B/RRP1/SLX9/ADAR/RPL26/NOL9/ABCE1/NSA2/RPS14/SLU7/DCAF13/NOL6/RPUSD4/DDX21/BMS1/NOLC1/POP5/SF1/CD2BP2/MRPL1/RAMAC/PA2G4/EXOSC1/EXOSC10/RPS21/MRM3/RPS7/POP7/CLP1/TRMT112/ZNF622/PRPF8/DDX23/EIF3F/SART1/RUVBL1/RBIS/RPS27/IMP3/RPP25/EIF3K/RRS1/PUF60/NPM1/MRPS11/SNRPE/NOP10/RPS17/RPL35A/RUVBL2/SF3A3/UTP11/TBL3/NOC4L/RPL14/NOC2L/RRP7A/NOP9/RPL23A/RPL10A/RPLP0P6/DDX3X/EXOSC6/WDR46/RPS28/ISY1/PWP2/EIF6/MRPL20/PRKDC/MPV17L2/GTF2H5/ZNHIT3/TAF9/AATF/DDX52	228
BP	GO:0009060	aerobic respiration	119/4039	184/17021	2.36906784880261e-32	4.85974784717709e-29	4.00663404604512e-29	NDUFAB1/UQCRC1/MDH1/BID/CS/NDUFB4/MTFR1/RHOA/IDH3G/SDHA/NDUFB2/DLD/FH/MSH2/ATP5F1D/NDUFB7/ACO2/IDH3B/SLC25A14/ANTKMT/NOP53/OGDH/CHCHD2/PPIF/NDUFC1/NDUFS8/ATP5F1B/COX6A1/COX7A2/DGUOK/NDUFS7/COX7A2L/PARK7/ATP5PB/SDHB/MTFR1L/NDUFB3/NDUFA8/IDE/CAT/ACO1/ATP5F1E/NDUFA1/SLC25A23/COX6B1/COX7C/UQCR11/NDUFA5/COX4I1/COX7B/NDUFA2/PDHA1/CCNB1/BLOC1S1/COX5B/ISCU/NDUFB5/UQCC2/IDH1/NDUFB10/AKT1/SDHC/SNCA/NDUFS6/MDH2/NIPSNAP2/NDUFB9/DLAT/NDUFC2/ATP5F1A/ATP5PF/OXA1L/UQCRB/PINK1/NDUFS2/UQCRQ/COX6C/FXN/NDUFB6/VCP/STOML2/ATP5F1C/GHITM/NDUFB8/IDH3A/ATP5MG/NDUFV1/ATP5PD/COA6/PDHB/NDUFS5/ATP5ME/CDK1/NDUFA3/CYCS/SUCLG2/UQCRH/COX8A/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/NDUFA12/NDUFA6/NDUFA4/ND6/ND5/ND4/ATP6/SDHD/ND4L/ARL2/NDUFS3/ATP8/UQCRHL/ATP5MF/ATP5PO/CHCHD10	119
BP	GO:0042254	ribosome biogenesis	160/4039	293/17021	1.86774221171187e-30	2.87352139271871e-27	2.369083542224e-27	LAS1L/RPUSD1/TSR3/UTP18/RPL26L1/NOP16/RRP12/MRTO4/RIOK2/WDR18/BUD23/EXOSC5/XRCC5/RPS5/WBP11/DIMT1/NOP14/DDX18/XRN2/RPL6/RPLP0/PES1/SNU13/DDX17/RPL3/SUV39H1/PIH1D1/ERCC2/POP4/RPS16/FBL/RPS19/NOP53/NPM3/NUP88/C1QBP/FTSJ3/GAR1/KRR1/RPL24/RRP9/RPS15/RPF1/EBNA1BP2/ERI3/UTP25/RPS25/FCF1/WDR55/GTF3A/MRPS2/RPL5/DDX54/DDX27/RIOK1/RPP40/MRPS7/SBDS/EMG1/NGDN/NSUN5/PPAN/DKC1/NOL11/RPL27/TRAF7/DHX30/RAN/MYBBP1A/UTP3/ERAL1/MPHOSPH6/GLUL/PWP1/DDX56/IMP4/RPL35/RPS6/RSL24D1/RPS24/CUL4A/UTP4/EIF4A3/RPS8/SHQ1/EIF2A/LYAR/NHP2/ABT1/RPL7L1/RPL10/RPL7/REXO4/RPL7A/RPP30/PDCD11/DHX37/HEATR3/NIFK/RPUSD3/TSR2/RRP1B/RRP1/SLX9/RPL26/NOL9/ABCE1/NSA2/RPS14/DCAF13/NOL6/RPUSD4/DDX21/BMS1/NOLC1/POP5/MRPL1/PA2G4/EXOSC1/EXOSC10/RPS21/MRM3/RPS7/POP7/TRMT112/ZNF622/SART1/RBIS/RPS27/IMP3/RPP25/RRS1/NPM1/MRPS11/NOP10/RPS17/RPL35A/UTP11/TBL3/NOC4L/RPL14/NOC2L/RRP7A/NOP9/RPL23A/RPL10A/RPLP0P6/DDX3X/EXOSC6/WDR46/RPS28/PWP2/EIF6/MRPL20/PRKDC/MPV17L2/GTF2H5/ZNHIT3/AATF/DDX52	160
BP	GO:0045333	cellular respiration	131/4039	225/17021	8.29559970508822e-29	1.02102241170226e-25	8.41785064811057e-26	NDUFAB1/UQCRC1/MDH1/BID/CS/NDUFB4/MTFR1/RHOA/IDH3G/SDHA/NDUFB2/DLD/FH/MSH2/ATP5F1D/NDUFB7/ACO2/IDH3B/SLC25A14/ANTKMT/NOP53/OGDH/CHCHD2/PPIF/NDUFC1/NDUFS8/ATP5F1B/COX6A1/COX7A2/DGUOK/GPD2/NDUFS7/COX7A2L/PARK7/ATP5PB/SDHB/MTFR1L/NDUFB3/NDUFA8/IDE/CAT/ACO1/CISD1/ATP5F1E/NDUFA1/SLC25A23/COX6B1/TRAP1/COX7C/UQCR11/NDUFA5/COX4I1/COX7B/NDUFA2/PDHA1/MYBBP1A/CCNB1/BLOC1S1/COQ10A/COX5B/ISCU/NDUFB5/UQCC2/IDH1/NDUFB10/IFNAR1/AKT1/SDHC/SNCA/NDUFS6/MDH2/NIPSNAP2/NDUFB9/SLC25A25/DLAT/NDUFC2/ATP5F1A/ATP5PF/OXA1L/UQCRB/PINK1/NDUFS2/UQCRQ/COX6C/FXN/NDUFB6/VCP/STOML2/ATP5F1C/GHITM/NDUFB8/IDH3A/ATP5MG/NDUFV1/ATP5PD/COA6/PDHB/NDUFS5/ATP5ME/UQCRFS1/PRELID1/CDK1/NDUFA3/CYCS/SUCLG2/UQCRH/COX8A/GBA/PLEC/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/NDUFA12/NDUFA6/LYRM7/NDUFA4/ND6/ND5/ND4/ATP6/SDHD/ND4L/ARL2/NDUFS3/ATP8/UQCRHL/ATP5MF/ATP5PO/CHCHD10	131
BP	GO:0006119	oxidative phosphorylation	93/4039	137/17021	5.58976121390898e-28	5.73323175173264e-25	4.7267805352704e-25	NDUFAB1/UQCRC1/BID/NDUFB4/RHOA/SDHA/NDUFB2/DLD/MSH2/ATP5F1D/NDUFB7/ANTKMT/CHCHD2/PPIF/NDUFC1/NDUFS8/ATP5F1B/COX6A1/COX7A2/DGUOK/NDUFS7/COX7A2L/PARK7/ATP5PB/NDUFB3/NDUFA8/ATP5F1E/NDUFA1/SLC25A23/COX6B1/COX7C/UQCR11/NDUFA5/COX4I1/COX7B/NDUFA2/CCNB1/COX5B/ISCU/NDUFB5/UQCC2/NDUFB10/SDHC/SNCA/NDUFS6/NIPSNAP2/NDUFB9/NDUFC2/ATP5F1A/ATP5PF/UQCRB/PINK1/NDUFS2/UQCRQ/COX6C/FXN/NDUFB6/VCP/STOML2/ATP5F1C/GHITM/NDUFB8/ATP5MG/NDUFV1/ATP5PD/COA6/NDUFS5/ATP5ME/CDK1/NDUFA3/CYCS/UQCRH/COX8A/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/NDUFA12/NDUFA6/NDUFA4/ND6/ND5/ND4/ATP6/SDHD/ND4L/NDUFS3/ATP8/UQCRHL/ATP5MF/ATP5PO/CHCHD10	93
BP	GO:0006364	rRNA processing	125/4039	219/17021	1.95744311933625e-26	1.7208721366279e-23	1.41877832108282e-23	LAS1L/RPUSD1/TSR3/UTP18/RRP12/MRTO4/RIOK2/WDR18/BUD23/EXOSC5/WBP11/DIMT1/NOP14/DDX18/XRN2/PES1/SNU13/DDX17/SUV39H1/PIH1D1/ERCC2/POP4/RPS16/FBL/RPS19/NOP53/NPM3/FTSJ3/GAR1/KRR1/RRP9/RPS15/RPF1/EBNA1BP2/ERI3/UTP25/RPS25/FCF1/WDR55/RPL5/DDX54/DDX27/RIOK1/RPP40/SBDS/EMG1/NGDN/NSUN5/PPAN/DKC1/NOL11/RPL27/UTP3/MPHOSPH6/PWP1/DDX56/IMP4/RPL35/RPS6/RPS24/UTP4/EIF4A3/RPS8/SHQ1/LYAR/NHP2/ABT1/RPL7L1/RPL7/REXO4/RPL7A/RPP30/PDCD11/DHX37/NIFK/RPUSD3/TSR2/RRP1B/RRP1/SLX9/RPL26/NOL9/NSA2/RPS14/DCAF13/NOL6/RPUSD4/DDX21/BMS1/NOLC1/POP5/MRPL1/PA2G4/EXOSC1/EXOSC10/RPS21/MRM3/RPS7/POP7/TRMT112/SART1/RPS27/IMP3/RPP25/RRS1/MRPS11/NOP10/RPS17/RPL35A/UTP11/TBL3/NOC4L/RPL14/RRP7A/NOP9/RPL10A/EXOSC6/WDR46/RPS28/PWP2/EIF6/PRKDC/GTF2H5/ZNHIT3/DDX52	125
BP	GO:0006091	generation of precursor metabolites and energy	216/4039	476/17021	7.47721458970865e-26	5.75184732313338e-23	4.74212820031522e-23	NDUFAB1/CIAPIN1/CYB561/UQCRC1/MDH1/BID/GLRX2/H6PD/CYBA/AKR7A2/CS/SPHK2/PDIA5/NDUFB4/MTFR1/FECH/PFKP/PHKA1/PKM/RHOA/IDH3G/P4HA2/ACADVL/SDHA/ENO1/ACAT1/AACS/ME2/OXCT1/AKR1B1/NDUFB2/DLD/FH/PHGDH/MSH2/ATP5F1D/NDUFB7/ACO2/PYGL/DHRS2/PYGB/IDH3B/SLC25A14/PGK1/ANTKMT/GSR/GYS1/GPI/NOP53/GSK3A/OGDH/CHCHD2/PPIF/GIT1/GALK1/NDUFC1/NDUFS8/ATP5F1B/PTGES3/ALDH2/GAPDH/TPI1/COX6A1/PPARD/COX7A2/GNPDA1/DGUOK/GPD2/NDUFS7/COX7A2L/PARK7/ATP5PB/SDHB/AKR1A1/MTFR1L/NDUFB3/NDUFA8/IDE/CAT/ACO1/CISD1/ATP5F1E/NQO2/NDUFA1/SLC25A23/COX6B1/TRAP1/COX7C/UQCR11/POR/NDUFA5/PGLS/ATP5IF1/COX4I1/COX7B/NDUFA2/PDHA1/SELENOS/INPP5K/MYBBP1A/CCNB1/BLOC1S1/COQ10A/COX5B/ISCU/NDUFB5/UQCC2/FDX1/KHK/IDH1/COX17/ETFA/NDUFB10/NCOR1/TP53/PFKL/IFNAR1/APP/AKT1/PGD/SDHC/DEGS1/SNCA/NDUFS6/MDH2/NIPSNAP2/NDUFB9/SLC25A25/DLAT/NDUFC2/QDPR/SLC25A4/ATP5F1A/RPIA/ATP5PF/OXA1L/UQCRB/HK1/PHKG2/PRXL2C/PINK1/NDUFS2/ALDH4A1/G6PD/JMJD8/AGL/GYG1/TKT/UQCRQ/FOXK1/COX6C/FXN/NDUFB6/VCP/STOML2/ATP5F1C/ENOX2/GHITM/NDUFB8/COX11/IDH3A/ATP5MG/NDUFV1/ATP5PD/COA6/PDHB/NDUFS5/ATP5ME/UQCRFS1/PRELID1/UGP2/CDK1/NDUFA3/CYCS/SUCLG2/PPP1CA/UQCRH/COX8A/TALDO1/GBA/PLEC/GLDC/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/PPP1R2/NDUFA12/NDUFA6/IRS2/NDUFA13/PPP1CC/LYRM7/NDUFA4/HMGB1/STK40/ADH5/GFPT1/ND6/ND5/MTOR/ND4/ATP6/SDHD/ND4L/ARL2/NDUFS3/PPP1CB/PHB2/ATP8/UQCRHL/ATP5MF/ATP5PO/EIF6/CHCHD10	216
BP	GO:0007005	mitochondrion organization	223/4039	499/17021	1.49582915002162e-25	1.022814732137e-22	8.43262748901076e-23	GCLC/BAD/POLDIP2/NDUFAB1/SLC25A5/RALA/GGCT/BID/RALBP1/GCLM/TOMM34/MIPEP/BAK1/NDUFB4/MTFR1/VPS35/TFRC/HSD17B10/MARK2/HSP90AA1/CTTN/BAX/AURKA/NDUFB2/TMEM14A/SH3GLB1/ATP5F1D/NDUFB7/TIMM13/TOMM22/FBXO7/TSPO/SAMM50/RAB5IF/PSMD10/TSC2/ARMC1/PPP2CB/PDCD5/TIMM50/DMAC2/MYH14/GSK3A/PMPCB/SSBP1/CHCHD2/MAPK8/PITRM1/TFAM/PPIF/KAT2A/VAT1/UBE2D3/NDUFC1/GRPEL1/ATG2A/AIP/NDUFS8/CAMKK2/WASF1/COX7A2/HSPA9/CERT1/THG1L/GOLPH3/NDUFS7/COX7A2L/PARK7/MFN2/RAB29/MTFR1L/RAB32/NDUFB3/NDUFA8/SLIRP/IFIT2/CLU/ATPAF1/NDUFAF4/NDUFA1/ALKBH7/MGME1/ROMO1/BECN1/TIMM17B/TIMM8A/NDUFA5/NECTIN2/TOMM40/SESN2/ATP5IF1/NDUFA2/TIMM10B/IMMT/CLUH/TIMM17A/TIMM10/HRK/NMT1/NDUFB5/YME1L1/DMAC1/UQCC2/COX17/PIF1/MAP1LC3B/RHOT2/NDUFB10/ARRB2/TP53/AKT1/SAE1/HAX1/PARP1/HSPD1/SNCA/CISD2/HIGD2A/DYNLT1/NIPSNAP2/NDUFB11/NDUFB9/MIGA2/TIMM8B/NDUFC2/SLC25A4/BAG3/BCL2L11/CXADR/FLCN/OXA1L/AIFM1/WIPI2/PINK1/NDUFS2/TOMM40L/CCAR2/ATP13A2/THEM4/CHCHD6/CALM3/ATAD3B/UBE2J2/LMNA/SELENON/BAP1/CDK5/FMC1/FXN/NDUFB6/STOML2/VDAC2/PRDX3/GHITM/PMPCA/FUNDC2/NDUFB8/PHB/ACAA2/WDR81/NDUFS5/LETM1/MFF/UQCRFS1/PRELID1/TRIAP1/NDUFA3/MFN1/ATPAF2/MTX1/MICOS10/TOMM20/CNP/HAP1/NDUFA11/MICOS13/PARL/TMEM70/ULK1/TIMM22/GBA/NDUFAF3/PLEC/COX14/SHARPIN/HIGD1A/NDUFB1/COA3/NDUFA12/NDUFA6/UBE2L3/BCAP31/NDUFA13/LYRM7/FZD9/SDHAF3/TOMM7/WDR45/ATAD3A/MARCHF5/UBL5/CALM1/ND6/ND5/OPA1/ND4/SREBF2/ATG9A/INF2/MLLT11/NDUFS3/SLC35F6/RTL10/PHB2/NDUFAF8/PET100/GPX1/PISD/PGAM5/SMIM20/CHCHD10/TIMM23/RCC1L	223
BP	GO:0016072	rRNA metabolic process	127/4039	230/17021	5.12559225298113e-25	3.15428947248459e-22	2.60056364835463e-22	LAS1L/RPUSD1/TSR3/UTP18/RRP12/MRTO4/RIOK2/WDR18/BUD23/EXOSC5/WBP11/DIMT1/NOP14/DDX18/XRN2/PES1/SNU13/DDX17/SUV39H1/PIH1D1/ERCC2/POP4/RPS16/FBL/RPS19/NOP53/NPM3/FTSJ3/GAR1/KRR1/RRP9/RPS15/RPF1/EBNA1BP2/ERI3/UTP25/RPS25/FCF1/WDR55/RPL5/DDX54/TRIR/DDX27/RIOK1/RPP40/SBDS/EMG1/NGDN/NSUN5/PPAN/DKC1/NOL11/RPL27/UTP3/MPHOSPH6/PWP1/DDX56/IMP4/RPL35/RPS6/RPS24/UTP4/EIF4A3/RPS8/SHQ1/LYAR/NHP2/ABT1/RPL7L1/RPL7/REXO4/RPL7A/RPP30/PDCD11/DHX37/NIFK/RPUSD3/TSR2/RRP1B/RRP1/SLX9/DEDD2/RPL26/NOL9/NSA2/RPS14/DCAF13/NOL6/RPUSD4/DDX21/BMS1/NOLC1/POP5/MRPL1/PA2G4/EXOSC1/EXOSC10/RPS21/MRM3/RPS7/POP7/TRMT112/SART1/RPS27/IMP3/RPP25/RRS1/MRPS11/NOP10/RPS17/RPL35A/UTP11/TBL3/NOC4L/RPL14/RRP7A/NOP9/RPL10A/EXOSC6/WDR46/RPS28/PWP2/EIF6/PRKDC/GTF2H5/ZNHIT3/DDX52	127
BP	GO:0034470	ncRNA processing	181/4039	382/17021	1.77703326944598e-24	9.94169340015505e-22	8.19645967342547e-22	LAS1L/ELAC2/RPUSD1/TSR3/UTP18/SARS1/NSUN2/METTL1/RRP12/MRTO4/RIOK2/WDR18/KARS1/FTSJ1/BUD23/HSD17B10/EXOSC5/DDX1/WBP11/DIMT1/SRRT/NOP14/RTRAF/DDX18/XRN2/TRMT6/AARS1/PUS7/AGO1/PES1/SNU13/DDX17/RTCB/TRMU/SUV39H1/USB1/POP1/PIH1D1/ERCC2/TRMT1/POP4/RPS16/FBL/RPS19/NOP53/NPM3/FTSJ3/GAR1/KRR1/THG1L/RRP9/RPS15/RPF1/EBNA1BP2/ERI3/UTP25/RPS25/FCF1/WDR55/RPL5/HNRNPA2B1/DDX54/DDX27/AARS2/RIOK1/RPP40/SBDS/EMG1/NGDN/GTPBP3/NSUN5/PPAN/DKC1/NOL11/RPL27/UTP3/MPHOSPH6/PWP1/DDX56/IMP4/TRMO/RPL35/RPS6/RPS24/SSB/TARBP2/UTP4/EIF4A3/DUS3L/RPS8/INTS7/TPRKB/SHQ1/LYAR/TRMT10A/NHP2/ABT1/RPL7L1/RPL7/REXO4/RPL7A/RPP30/PDCD11/DHX37/DPH3/NIFK/RPUSD3/TSR2/WDR4/RRP1B/RRP1/SLX9/ADAR/RPL26/POLR3K/NOL9/TYW3/ELP6/NSA2/RPS14/INTS1/DCAF13/INTS8/RPP25L/NOL6/RPUSD4/DDX21/BMS1/METTL3/NOLC1/URM1/POP5/MRPL1/DTWD2/DUS1L/ELP5/PA2G4/TSEN34/EXOSC1/EXOSC10/RPS21/MRM3/RPS7/TP53RK/POP7/CLP1/TRMT112/CTU2/LARP7/SART1/RPS27/IMP3/WDR6/RPP25/RRS1/PRKRA/MRPS11/NOP10/RPS17/RPL35A/UTP11/TBL3/NOC4L/RPL14/TRMT2B/RRP7A/NOP9/LAGE3/RPL10A/TSEN15/ADAT3/DDX3X/EXOSC6/WDR46/RPS28/PWP2/EIF6/PRKDC/GTF2H5/ZNHIT3/DDX52	181
BP	GO:0015980	energy derivation by oxidation of organic compounds	155/4039	309/17021	2.54638546704178e-24	1.30587134701459e-21	1.07662964483696e-21	NDUFAB1/UQCRC1/MDH1/BID/CS/NDUFB4/MTFR1/PHKA1/RHOA/IDH3G/ACADVL/SDHA/NDUFB2/DLD/FH/MSH2/ATP5F1D/NDUFB7/ACO2/PYGL/PYGB/IDH3B/SLC25A14/ANTKMT/GYS1/NOP53/GSK3A/OGDH/CHCHD2/PPIF/NDUFC1/NDUFS8/ATP5F1B/PTGES3/COX6A1/COX7A2/DGUOK/GPD2/NDUFS7/COX7A2L/PARK7/ATP5PB/SDHB/MTFR1L/NDUFB3/NDUFA8/IDE/CAT/ACO1/CISD1/ATP5F1E/NDUFA1/SLC25A23/COX6B1/TRAP1/COX7C/UQCR11/NDUFA5/COX4I1/COX7B/NDUFA2/PDHA1/SELENOS/INPP5K/MYBBP1A/CCNB1/BLOC1S1/COQ10A/COX5B/ISCU/NDUFB5/UQCC2/KHK/IDH1/NDUFB10/TP53/IFNAR1/AKT1/SDHC/SNCA/NDUFS6/MDH2/NIPSNAP2/NDUFB9/SLC25A25/DLAT/NDUFC2/ATP5F1A/ATP5PF/OXA1L/UQCRB/PHKG2/PINK1/NDUFS2/AGL/GYG1/UQCRQ/COX6C/FXN/NDUFB6/VCP/STOML2/ATP5F1C/GHITM/NDUFB8/IDH3A/ATP5MG/NDUFV1/ATP5PD/COA6/PDHB/NDUFS5/ATP5ME/UQCRFS1/PRELID1/UGP2/CDK1/NDUFA3/CYCS/SUCLG2/PPP1CA/UQCRH/COX8A/GBA/PLEC/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/PPP1R2/NDUFA12/NDUFA6/IRS2/PPP1CC/LYRM7/NDUFA4/HMGB1/STK40/GFPT1/ND6/ND5/MTOR/ND4/ATP6/SDHD/ND4L/ARL2/NDUFS3/PPP1CB/ATP8/UQCRHL/ATP5MF/ATP5PO/CHCHD10	155
BP	GO:0034660	ncRNA metabolic process	210/4039	472/17021	8.06522732041449e-24	3.81795453306391e-21	3.14772434691481e-21	LAS1L/ELAC2/RPUSD1/TSR3/UTP18/SARS1/NSUN2/METTL1/RRP12/MRTO4/RIOK2/GATB/WDR18/KARS1/IARS2/FTSJ1/BUD23/HSD17B10/RBM7/EXOSC5/DDX1/WBP11/DIMT1/SRRT/NOP14/RTRAF/DDX18/KHSRP/XRN2/TRMT6/AARS1/PUS7/AGO1/PES1/SNU13/DDX17/RTCB/TRMU/SUV39H1/USB1/POP1/SARS2/PIH1D1/ERCC2/TRMT1/POP4/RPS16/FBL/RPS19/NOP53/NPM3/FTSJ3/NFKB1/GAR1/CARS1/KRR1/THG1L/TARS1/RARS1/RRP9/RPS15/RPF1/EBNA1BP2/ERI3/UTP25/RPS25/FCF1/WDR55/RPL5/HNRNPA2B1/DDX54/TRIR/DDX27/AARS2/RIOK1/RPP40/SBDS/EMG1/NGDN/DTD2/GTPBP3/NSUN5/LRRC47/PPAN/DKC1/NOL11/RPL27/UTP3/NARS1/YARS1/MPHOSPH6/PWP1/DDX56/EPRS1/IMP4/TRMO/RPL35/RPS6/RPS24/SSB/TARBP2/WARS1/UTP4/EIF4A3/DUS3L/RPS8/INTS7/TPRKB/SHQ1/LYAR/TRMT10A/NHP2/ABT1/RPL7L1/MEPCE/RPL7/REXO4/RPL7A/RPP30/PDCD11/DHX37/DPH3/NIFK/RPUSD3/TSR2/WDR4/RRP1B/RRP1/SLX9/DEDD2/ADAR/RPL26/POLR3K/NOL9/TYW3/ELP6/NSA2/RPS14/INTS1/DCAF13/INTS8/RPP25L/NOL6/RPUSD4/DDX21/BMS1/METTL3/NOLC1/MARS1/URM1/POP5/MRPL1/DTWD2/DUS1L/ELP5/PA2G4/TSEN34/EXOSC1/EXOSC10/RPS21/MRM3/RPS7/QARS1/TP53RK/POP7/CLP1/RELA/TRMT112/CTU2/LARP7/HRAS/SART1/RPS27/IMP3/WDR6/RPP25/RRS1/FARSA/PSTK/PRKRA/MRPS11/NOP10/TDRKH/RPS17/RPL35A/UTP11/TBL3/NOC4L/RPL14/TRMT2B/RRP7A/NOP9/LAGE3/SND1/RPL10A/TSEN15/VARS1/ADAT3/ANG/DDX3X/EXOSC6/WDR46/RPS28/PWP2/EIF6/PRKDC/GATC/GTF2H5/ZNHIT3/DDX52	210
